id	group	start time	end time	duration	pressed back	attention check	age	gender	cooking enthusiast	restrictions	treatment	order	familiarity	selection	diversity	variety	similarity	easiness	confidence	amount	poster clicks	decision time	logtime	ILS	Sum (div+var+invsim)	inverse similarity
58006	('Group1=', 5, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-02-26 23:42:09.340182	2022-02-27 00:12:50.031483	1840,691301	False	2	26-35	male	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'similar', 'similar', 'similar', 'never', 'similar']	1	2	2	4	4	4	more	0,0,0,0,0,0,0	41,376809	1,616756995	0.48	6	2
98088	('Group1=', 4, ', Group2=', 7, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-02-27 00:51:51.557686	2022-02-27 01:01:56.264223	604,706537	False	2	36-45	female	2--3	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'never', 'never', 'similar', 'never', 'prepared', 'similar']	2	4	4	3	4	5	exactly	0,0,0,0,0,0,0	38,41771	1,584531474	0.48	11	3
30257	('Group1=', 3, ', Group2=', 4, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-02-27 00:12:14.453511	2022-02-27 00:25:57.779126	823,325615	False	2	26-35	male	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'never', 'never']	1	1	1	5	4	5	more	2,2,1,1,1,1,1	78,097622	1,89263781	0.48	3	1
41238	('Group1=', 1, ', Group2=', 6, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-02-27 01:17:18.404866	2022-02-27 01:22:43.385371	324,980505	False	2	26-35	female	4--5	vegan	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'prepared', 'never', 'similar', 'never', 'similar']	2	4	5	4	4	5	more	0,0,0,0,0,0,0	31,663933	1,500564858	0.48	11	2
55011	('Group1=', 6, ', Group2=', 5, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-02-26 23:44:18.897244	2022-02-27 00:02:04.907719	1066,010475	False	2	26-35	male	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'similar', 'never']	4	2	2	4	3	4	more	0,0,0,0,0,0,0	79,290786	1,899222723	0.48	6	2
64618	('Group1=', 5, ', Group2=', 6, ', Group3=', 2, 'ComparisonGroup=', 2)	2022-02-24 13:28:32.819858	2022-02-24 13:50:39.156923	1326,337065	False	2	36-45	female	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'prepared', 'never', 'prepared', 'similar', 'never']	2	4	5	2	5	5	more	0,0,0,0,0,0,0	119,309579	2,076675313	0.48	13	4
42677	('Group1=', 6, ', Group2=', 5, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-02-24 14:12:08.740773	2022-02-24 14:16:53.513200	284,772427	False	2	19-25	male	1	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	1	1	1	5	2	4	more	0,0,0,0,0,0,0	33,840139	1,529432138	0.48	3	1
78878	('Group1=', 6, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-02-24 12:46:18.744250	2022-02-24 12:50:53.332621	274,588371	False	2	46-55	female	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'prepared', 'similar', 'prepared', 'similar', 'prepared', 'similar']	4	3	3	4	4	4	exactly	0,0,0,0,0,0,0	21,90135	1,340470886	0.48	8	2
1922	('Group1=', 2, ', Group2=', 6, ', Group3=', 5, 'ComparisonGroup=', 4)	2022-03-01 16:24:25.456965	2022-03-01 16:38:55.601423	870,144458	False	2	46-55	female	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'similar', 'never', 'similar', 'never', 'never']	2	2	2	5	4	4	more	0,0,0,0,0,0,0	130,527673	2,115702596	0.48	5	1
82358	('Group1=', 2, ', Group2=', 1, ', Group3=', 6, 'ComparisonGroup=', 4)	2022-03-01 14:53:01.617787	2022-03-01 14:59:45.909730	404,291943	False	2	26-35	male	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'similar', 'never', 'never']	2	2	4	3	3	3	exactly	0,0,0,0,0,0,0	118,446847	2,073523504	0.48	9	3
81048	('Group1=', 2, ', Group2=', 4, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-03-01 14:59:38.958560	2022-03-01 15:03:49.368513	250,409953	False	2	26-35	female	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	2	2	3	4	4	4	more	0,0,0,0,0,0,0	34,70574	1,540401309	0.48	7	2
92661	('Group1=', 2, ', Group2=', 7, ', Group3=', 4, 'ComparisonGroup=', 3)	2022-03-01 15:25:26.804534	2022-03-01 15:39:23.628947	836,824413	False	2	>65	female	>5	other	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'similar', 'similar', 'similar', 'never', 'never']	7	2	2	4	3	4	more	0,0,0,0,1,2,1	247,527178	2,393622891	0.48	6	2
43574	('Group1=', 2, ', Group2=', 5, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-01 15:37:06.592613	2022-03-01 15:44:04.913853	418,32124	False	2	26-35	female	>5	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'never', 'similar', 'similar', 'prepared', 'prepared']	3	3	4	5	4	4	more	0,0,0,0,0,0,0	91,300449	1,960472913	0.48	8	1
69995	('Group1=', 2, ', Group2=', 4, ', Group3=', 6, 'ComparisonGroup=', 3)	2022-03-01 17:17:08.897548	2022-03-01 17:26:11.531124	542,633576	False	2	46-55	not disclose	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'similar', 'never', 'similar', 'never', 'never']	7	2	2	4	4	4	more	0,0,0,0,0,0,0	111,034841	2,045459275	0.48	6	2
97286	('Group1=', 4, ', Group2=', 2, ', Group3=', 6, 'ComparisonGroup=', 1)	2022-03-01 15:35:57.380795	2022-03-01 15:43:14.151972	436,771177	False	2	>65	male	1	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared']	5	1	1	5	2	4	exactly	0,0,0,0,0,0,0	60,649282	1,782825664	0.48	3	1
71219	('Group1=', 7, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-01 14:51:55.194969	2022-03-01 15:05:30.394837	815,199868	False	2	26-35	male	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'never', 'prepared', 'similar', 'never']	5	4	4	4	4	3	more	0,0,0,0,0,0,0	26,132262	1,417177004	0.48	10	2
47127	('Group1=', 5, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-03-01 15:27:53.317217	2022-03-01 15:38:13.694645	620,377428	False	2	26-35	female	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'similar', 'similar', 'never', 'prepared', 'never', 'never']	3	4	4	3	5	5	more	0,0,0,0,0,0,0	64,280248	1,808077544	0.48	11	3
12604	('Group1=', 4, ', Group2=', 2, ', Group3=', 7, 'ComparisonGroup=', 2)	2022-03-01 14:55:59.858359	2022-03-01 15:49:05.666031	3185,807672	False	2	36-45	female	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'prepared', 'similar', 'similar', 'similar', 'similar', 'similar']	2	4	5	4	5	5	more	0,0,0,0,0,0,0	45,815553	1,661012933	0.48	11	2
91359	('Group1=', 3, ', Group2=', 2, ', Group3=', 5, 'ComparisonGroup=', 2)	2022-03-01 16:22:55.055748	2022-03-01 16:27:57.817896	302,762148	False	2	36-45	male	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'never', 'never']	1	1	1	5	3	4	more	0,0,0,0,0,0,0	42,950126	1,632964442	0.48	3	1
14786	('Group1=', 7, ', Group2=', 2, ', Group3=', 4, 'ComparisonGroup=', 2)	2022-03-01 15:26:34.903416	2022-03-01 15:32:50.551437	375,648021	False	2	36-45	female	>5	lactose	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'never', 'never', 'never', 'similar', 'never', 'never']	1	2	2	5	5	5	more	0,0,0,0,0,0,0	45,787799	1,660749768	0.48	5	1
26158	('Group1=', 3, ', Group2=', 4, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-01 15:47:56.935916	2022-03-01 16:21:56.014083	2039,078167	False	2	36-45	male	4--5	vegan	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	1	5	4	3	4	4	more	0,0,0,0,0,0,0	978,04271	2,99035782	0.48	12	3
36041	('Group1=', 5, ', Group2=', 7, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-01 15:42:11.376100	2022-03-01 15:46:30.372600	258,9965	False	2	36-45	male	4--5	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'similar', 'prepared', 'never', 'similar', 'prepared']	4	2	4	3	3	5	exactly	0,0,0,0,0,0,0	40,369495	1,606053317	0.48	9	3
11446	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-01 15:11:56.569492	2022-03-01 15:21:00.626153	544,056661	False	2	26-35	male	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'similar', 'never', 'never', 'never']	6	1	1	5	4	4	more	0,0,0,0,0,0,0	45,99036	1,662666809	0.48	3	1
97015	('Group1=', 4, ', Group2=', 6, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-01 14:53:24.040649	2022-03-01 15:02:18.368852	534,328203	False	2	56-65	female	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'similar', 'prepared', 'similar', 'similar']	7	1	1	5	3	5	more	0,0,0,0,0,0,0	84,865014	1,928728687	0.48	3	1
67756	('Group1=', 6, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 2)	2022-03-01 16:04:50.986028	2022-03-01 16:12:41.725221	470,739193	False	2	19-25	male	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	6	4	2	5	4	4	more	0,0,0,0,0,0,0	55,969111	1,747948409	0.48	7	1
69048	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-01 14:56:28.688214	2022-03-01 15:03:42.879370	434,191156	False	2	46-55	male	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'prepared', 'similar', 'never', 'never', 'never', 'similar']	4	4	5	4	5	4	more	0,0,0,0,0,0,0	41,238796	1,615305977	0.48	11	2
46609	('Group1=', 6, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-01 16:54:03.423081	2022-03-01 16:58:18.771819	255,348738	False	2	26-35	male	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'never', 'never']	2	1	1	5	4	5	more	0,0,0,0,0,0,0	23,762246	1,375887488	0.48	3	1
72263	('Group1=', 2, ', Group2=', 5, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-03 16:09:32.938104	2022-03-03 16:15:29.932322	356,994218	False	2	46-55	female	4--5	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'similar', 'never', 'never', 'similar', 'prepared', 'never']	3	3	4	2	4	5	exactly	0,0,0,0,0,0,0	37,572627	1,574871561	0.48	11	4
72014	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-03 14:36:10.689659	2022-03-03 14:43:09.658294	418,968635	False	2	36-45	male	4--5	other	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'never', 'never']	1	2	1	4	3	1	more	2,1,1,0,1,0,0	101,370741	2,005912621	0.48	5	2
37940	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-03 14:46:31.919156	2022-03-03 15:02:49.126985	977,207829	False	2	36-45	female	<1	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'similar', 'similar', 'never', 'similar']	5	2	3	4	2	3	more	0,0,0,0,0,0,0	278,034934	2,444099367	0.48	7	2
79956	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-03 15:45:48.089693	2022-03-03 15:52:19.701380	391,611687	False	2	56-65	male	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'similar', 'similar', 'never', 'never', 'never', 'never']	1	2	2	4	4	4	more	0,0,0,0,0,0,0	73,858831	1,86840243	0.48	6	2
1323	('Group1=', 7, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-03 14:47:52.276232	2022-03-03 14:58:40.113490	647,837258	False	2	36-45	male	4--5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'never', 'never', 'similar', 'never', 'never']	2	2	2	5	4	4	more	0,0,0,0,0,0,0	34,310467	1,535426629	0.48	5	1
41882	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-03 14:40:35.150017	2022-03-03 14:46:02.603342	327,453325	False	2	26-35	female	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'never', 'never', 'prepared', 'similar', 'never']	4	1	2	5	2	3	none	0,0,0,0,0,0,0	51,034864	1,707866962	0.48	4	1
56264	('Group1=', 4, ', Group2=', 2, ', Group3=', 7, 'ComparisonGroup=', 2)	2022-03-03 15:46:06.119373	2022-03-03 15:51:55.679947	349,560574	False	2	26-35	male	1	vegan	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'never', 'never']	6	1	1	5	4	4	exactly	0,0,0,0,0,0,0	45,363389	1,656705492	0.48	3	1
88987	('Group1=', 5, ', Group2=', 2, ', Group3=', 6, 'ComparisonGroup=', 2)	2022-03-03 14:35:38.927181	2022-03-03 14:41:23.833371	344,90619	False	2	46-55	female	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'similar', 'never', 'similar', 'similar', 'never']	1	2	2	4	4	4	more	0,0,0,0,0,0,0	55,660797	1,745549421	0.48	6	2
